Time, Value
6,296365,0
6,309946,0
6,32402,0
6,337985,0
6,351867,0
6,365786,0
6,37971,0
6,393517,0
6,407653,0
6,422065,0
6,435564,0
6,449249,0
6,463179,0
6,477163,0
6,491113,0
6,505031,0
6,518812,0
6,532702,0
6,546736,0
6,560709,0
6,574685,0
6,588394,0
6,602585,0
6,616458,0
6,630147,0
6,644337,0
6,65833,0
6,672014,0
6,686127,0
6,700085,0
6,714081,0
6,727825,0
6,741885,0
6,755781,0
6,76954,0
6,783668,0
6,797524,0
6,811308,0
6,825431,0
6,839328,0
6,853124,0
6,867196,0
6,881119,0
6,895017,0
6,90887,0
6,922782,0
6,936946,0
6,95063,0
6,964613,0
6,97858,0
6,992476,0
7,006446,0
7,020354,0
7,034275,0
7,048035,0
7,062445,0
7,076138,0
7,08987,0
7,103966,0
7,117852,0
7,131644,0
7,145707,0
7,159723,0
7,173446,0
7,187455,0
7,201476,0
7,215495,0
7,229082,0
7,243249,0
7,257228,0
7,270943,0
7,285038,0
7,299,0
7,312694,0
7,326899,0
7,340815,0
7,354669,0
7,368468,0
7,382524,0
7,396379,0
7,410211,0
7,424354,0
7,438212,0
7,451943,0
7,466028,0
7,480058,0
7,49397,0
7,507693,0
7,521808,0
7,535741,0
7,54949,0
7,563505,0
7,577505,0
7,591366,0
7,605359,0
7,619303,0
7,633077,0
7,647131,0
7,661095,0
7,6751,0
7,688759,0
7,702877,0
7,71679,0
7,730555,0
7,744724,0
7,758615,0
7,772348,0
7,786428,0
7,800295,0
7,814322,0
7,828146,0
7,842175,0
7,856062,0
7,869875,0
7,883861,0
7,897746,0
7,911546,0
7,925623,0
7,93961,0
7,953496,0
7,967493,0
7,98138,0
7,995301,0
8,009061,0
8,023157,0
8,037091,0
8,050833,0
8,065007,0
8,078853,0
8,092542,0
8,106642,0
8,120609,0
8,134615,0
8,148306,0
8,162343,0
8,176331,0
8,190001,0
8,204069,0
8,218013,0
8,231906,0
8,245949,0
8,263063,0
8,27407,0
8,287586,0
8,301579,0
8,315509,0
8,329308,0
8,343419,0
8,357204,0
8,370991,0
8,385107,0
8,399055,0
8,412862,0
8,426966,0
8,440993,0
8,454722,0
8,468528,0
8,482574,0
8,496581,0
8,510974,0
8,524395,0
8,538239,0
8,552016,0
8,56605,0
8,580042,0
8,594062,0
8,60771,0
8,621746,0
8,63573,0
8,649514,0
8,663663,0
8,67752,0
8,691204,0
8,705305,0
8,71932,0
8,733097,0
8,747129,0
8,761048,0
8,775004,0
8,788658,0
8,802787,0
8,816706,0
8,830636,0
8,844573,0
8,858496,0
8,872246,0
8,886308,0
8,900406,0
8,914155,0
8,927931,0
8,942024,0
8,956041,0
8,969863,0
8,983777,0
8,997672,0
9,011408,0
9,025516,0
9,039392,0
9,05329,0
9,067281,0
9,081326,0
9,095183,0
9,10897,0
9,123031,0
9,137065,0
9,150705,0
9,1648,0
9,178706,0
9,192451,0
9,206595,0
9,220481,0
9,234386,0
9,248137,0
9,262281,0
9,276151,0
9,289927,0
9,303942,0
9,317938,0
9,331705,0
9,34572,0
9,35973,0
9,373565,0
9,387526,0
9,401453,0
9,415376,0
9,429164,0
9,443204,0
9,457151,0
9,470929,0
9,485055,0
9,498942,0
9,512757,0
9,526771,0
9,540646,0
9,554575,0
9,568419,0
9,582458,0
9,596386,0
9,610202,0
9,624253,0
9,63809,0
9,65186,0
9,66605,0
9,679893,0
9,693744,0
9,707809,0
9,721681,0
9,735584,0
9,749458,0
9,763432,0
9,777345,0
9,791089,0
9,805134,0
9,819149,0
9,832945,0
9,846959,0
9,860884,0
9,874901,0
9,888562,0
9,902621,0
9,916586,0
9,930268,0
9,944536,0
9,958386,0
9,972324,0
9,98623,0
10,00017,0
10,01397,0
10,02773,0
10,04189,0
10,05576,0
10,06955,0
10,08365,0
10,0976,0
10,11133,0
10,1255,0
10,13939,0
10,15311,0
10,16716,0
10,18111,0
10,19496,0
10,20869,0
10,22289,0
10,23673,0
10,25062,0
10,26466,0
10,2786,0
10,29229,0
10,30662,0
10,32032,0
10,33424,0
10,34805,0
10,36213,0
10,37602,0
10,3898,0
10,40381,0
10,41775,0
10,43157,0
10,4456,0
10,45956,0
10,47336,0
10,48735,0
10,50134,0
10,51522,0
10,52897,0
10,54309,0
10,55702,0
10,57076,0
10,5851,0
10,59873,0
10,61256,0
10,62662,0
10,6405,0
10,65441,0
10,66826,0
10,68228,0
10,69622,0
10,71002,0
10,72412,0
10,73803,0
10,75175,0
10,76587,0
10,77976,0
10,79355,0
10,80763,0
10,82147,0
10,83548,0
10,84917,0
10,86331,0
10,87717,0
10,89105,0
10,905,0
10,91903,0
10,93279,0
10,94682,0
10,96076,0
10,97462,0
10,98864,0
11,00257,0
11,01643,0
11,03013,0
11,04423,0
11,05818,0
11,07186,0
11,08599,0
11,09991,0
11,11376,0
11,12776,0
11,14171,0
11,1556,0
11,16945,0
11,18348,0
11,19745,0
11,21126,0
11,22527,0
11,23923,0
11,25301,0
11,26707,0
11,28097,0
11,29491,0
11,3087,0
11,32271,0
11,33665,0
11,35046,0
11,36446,0
11,37847,0
11,39221,0
11,40623,0
11,42008,0
11,43409,0
11,44795,0
11,46212,0
11,47597,0
11,48962,0
11,5037,0
11,51753,0
11,53131,0
11,54542,0
11,55938,0
11,57313,0
11,58725,0
11,60121,0
11,61511,0
11,62881,0
11,64286,0
11,65685,0
11,67056,0
11,68466,0
11,69862,0
11,71241,0
11,72647,0
11,7404,0
11,75434,0
11,76808,0
11,78221,0
11,79604,0
11,80992,0
11,82394,0
11,83798,0
11,8516,0
11,86567,0
11,87961,0
11,8934,0
11,90743,0
11,92139,0
11,93534,0
11,94912,0
11,9633,0
11,97709,0
11,9909,0
12,00536,0
12,01887,0
12,03265,0
12,04663,0
12,06058,0
12,07462,0
12,08833,0
12,10246,0
12,11642,0
12,12997,0
12,1441,0
12,15811,0
12,17181,0
12,18592,0
12,19979,0
12,21358,0
12,22774,0
12,24161,0
12,25554,0
12,26952,0
12,28338,0
12,29722,0
12,31103,0
12,32532,0
12,33915,0
12,3528,0
12,36696,0
12,38083,0
12,39472,0
12,40854,0
12,42264,0
12,43665,0
12,45029,0
12,46435,0
12,47829,0
12,49209,0
12,50613,0
12,52005,0
12,53399,0
12,5477,0
12,56218,0
12,57582,0
12,58948,0
12,60359,0
12,61753,0
12,63118,0
12,64527,0
12,65926,0
12,67301,0
12,68723,0
12,70109,0
12,71496,0
12,72884,0
12,74282,0
12,75672,0
12,77037,0
12,78448,0
12,79819,0
12,81208,0
12,82595,0
12,83975,0
12,85336,0
12,86733,0
12,88125,0
12,89504,0
12,9086,0
12,9226,0
12,93655,0
12,95014,0
12,96409,0
12,97792,0
12,99157,0
13,00554,0
13,01952,0
13,03315,0
13,04697,0
13,06086,0
13,07466,0
13,08834,0
13,10231,0
13,1162,0
13,12975,0
13,14386,0
13,15758,0
13,17125,0
13,18539,0
13,19912,0
13,21275,0
13,22683,0
13,24071,0
13,2546,0
13,26843,0
13,2825,0
13,29641,0
13,31021,0
13,32473,0
13,33864,0
13,35214,0
13,36603,0
13,38011,0
13,39352,0
13,40713,0
13,42119,0
13,43529,0
13,44905,0
13,46292,0
13,47687,0
13,49072,0
13,50465,0
13,51837,0
13,53207,0
13,54597,0
13,5599,0
13,57354,0
13,58746,0
13,60127,0
13,61514,0
13,62879,0
13,64288,0
13,65667,0
13,67031,0
13,68432,0
13,69812,0
13,71177,0
13,72572,0
13,73948,0
13,75323,0
13,76729,0
13,78122,0
13,79519,0
13,80892,0
13,82303,0
13,83698,0
13,85069,0
13,86477,0
13,87871,0
13,8925,0
13,90655,0
13,92051,0
13,93443,0
13,94826,0
13,96235,0
13,97626,0
13,99001,0
14,00408,0
14,018,0
14,03195,0
14,04587,0
14,05976,0
14,07364,0
14,08802,0
14,10175,0
14,11558,0
14,12929,0
14,14332,0
14,15733,0
14,17108,0
14,18515,0
14,19902,0
14,2129,0
14,22693,0
14,24095,0
14,25482,0
14,26856,0
14,28272,0
14,29653,0
14,31037,0
14,32446,0
14,33828,0
14,35214,0
14,36657,0
14,38013,0
14,39398,0
14,40782,0
14,42179,0
14,43571,0
14,44948,0
14,46358,0
14,47759,0
14,4913,0
